,Unnamed: 0,categories,contains_ads,downloads_and_revenue,has_iap,installs,most_popular_country,name,android,price,publisher_country,publisher_name,rating,rating_breakdown,rating_count,revenue,downloads,one_star,two_star,three_star,four_star,five_star,ios,one_star_1,three_star_3,four_star_4,five_star_5,two_star_2,overall_rating,categories_Action,categories_Adventure,categories_Arcade,categories_Board,categories_Card,categories_Casino,categories_Casual,categories_Other,categories_Puzzle,categories_Role Playing,categories_Simulation,categories_Sports,categories_Strategy,revenue_club,revenue_clubx10,log_revenue,Free_Pay
10,10,Action,1.0,"{'downloads': '400k', 'revenue': '< $5k', 'revenueBreakdown': {'US': 0.39, 'AU': 0.02, 'BR': 0.05, 'CA': 0.04, 'FR': 0.04, 'DE': 0.08, 'GB': 0.03, 'MX': 0.03, 'BE': 0.02, 'HU': 0.02, 'ID': 0.03, 'IE': 0.02, 'MY': 0.04, 'NO': 0.02, 'SA': 0.08, 'AE': 0.05, 'VN': 0.03, 'Other': 0.03}, 'downloadBreakdown': {'US': 0.1, 'BR': 0.09, 'MX': 0.05, 'RU': 0.03, 'EG': 0.02, 'IN': 0.38, 'ID': 0.09, 'MY': 0.03, 'SA': 0.05, 'TR': 0.03, 'VN': 0.02, 'Other': 0.1}}",1,1000000.0,IN,The Spear King,1.0,0.0,,Game Superb,3.819036,"[633, 172, 251, 346, 1897]",3299.0,5000,400000,633,172,251,346,1897,0.0,0.19187632615944225,0.22825098514701425,0.41952106698999697,2.8751136708093363,0.10427402243103973,3.819036071536829,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.517193191416238,0
11,11,Role Playing,0.0,"{'downloads': '< 5k', 'revenue': '$9k', 'revenueBreakdown': {'US': 0.13, 'AU': 0.02, 'BR': 0.02, 'CA': 0.03, 'FR': 0.02, 'DE': 0.02, 'JP': 0.23, 'KR': 0.3, 'ID': 0.02, 'MY': 0.01, 'SG': 0.02, 'TW': 0.03, 'TH': 0.03, 'Other': 0.11}, 'downloadBreakdown': {'US': 0.29, 'AU': 0.01, 'BR': 0.07, 'CA': 0.03, 'FR': 0.02, 'DE': 0.04, 'GB': 0.02, 'JP': 0.07, 'KR': 0.11, 'MX': 0.02, 'ES': 0.01, 'RU': 0.02, 'ID': 0.04, 'TH': 0.02, 'Other': 0.2}}",1,500000.0,US,Mystery of Fortune 2,1.0,0.99,South Korea,Dotomchi Games Inc.,4.469682,"[989, 378, 865, 2853, 13155]",18240.0,9000,5000,989,378,865,2853,13155,0.0,0.054221491228070184,0.14226973684210525,0.6256578947368421,3.606085526315789,0.04144736842105263,4.4696820175438585,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,9.104979856318355,1
12,12,Arcade,0.0,"{'downloads': '< 5k', 'revenue': '< $5k', 'revenueBreakdown': {'US': 0.27, 'AU': 0.04, 'BR': 0.02, 'CA': 0.03, 'FR': 0.02, 'DE': 0.08, 'GB': 0.05, 'JP': 0.01, 'KR': 0.06, 'MX': 0.04, 'ES': 0.01, 'IT': 0.02, 'RU': 0.06, 'AT': 0.02, 'ID': 0.01, 'MY': 0.01, 'NL': 0.02, 'PL': 0.01, 'CH': 0.02, 'TW': 0.03, 'TH': 0.02, 'TR': 0.02, 'Other': 0.11}, 'downloadBreakdown': {'US': 0.36, 'AU': 0.03, 'BR': 0.02, 'CA': 0.02, 'FR': 0.02, 'DE': 0.08, 'GB': 0.05, 'KR': 0.03, 'MX': 0.03, 'IT': 0.02, 'RU': 0.1, 'AT': 0.02, 'TR': 0.02, 'Other': 0.21}}",1,100000.0,US,Death Worm™,1.0,2.99,Russia,PlayCreek LLC,4.230564599999999,"[500, 303, 763, 1632, 4687]",7885.0,5000,5000,500,303,763,1632,4687,0.0,0.06341154090044387,0.2902980342422321,0.8279010779961953,2.9720989220038048,0.07685478757133797,4.230564362714014,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,8.517193191416238,1
13,13,Simulation,1.0,"{'downloads': '500k', 'revenue': '$70k', 'revenueBreakdown': {'US': 0.78, 'AU': 0.05, 'CA': 0.03, 'FR': 0.02, 'DE': 0.02, 'GB': 0.04, 'Other': 0.07}, 'downloadBreakdown': {'US': 0.4, 'AU': 0.02, 'BR': 0.06, 'CA': 0.03, 'FR': 0.06, 'DE': 0.05, 'GB': 0.05, 'ES': 0.04, 'IT': 0.04, 'RU': 0.02, 'IN': 0.02, 'ID': 0.02, 'TR': 0.01, 'Other': 0.18}}",1,1000000.0,US,House Flip,1.0,0.0,US,fun-gi,4.4742823,"[3147, 1424, 4076, 14584, 52087]",75318.0,70000,500000,3147,1424,4076,14584,52087,0.0,0.04178284075519796,0.16235162909264714,0.7745293289784646,3.457805571045434,0.037813006187100026,4.474282376058844,0,0,0,0,0,0,0,0,0,0,1,0,0,2,100,11.156250521031497,0
14,14,Puzzle,1.0,"{'downloads': '600k', 'revenue': '< $5k', 'revenueBreakdown': {'US': 0.6, 'AU': 0.02, 'BR': 0.02, 'CA': 0.02, 'DE': 0.04, 'GB': 0.06, 'JP': 0.06, 'KR': 0.04, 'MX': 0.01, 'RU': 0.02, 'NZ': 0.01, 'SG': 0.01, 'TW': 0.02, 'Other': 0.08}, 'downloadBreakdown': {'US': 0.16, 'BR': 0.17, 'FR': 0.02, 'DE': 0.04, 'GB': 0.03, 'JP': 0.01, 'KR': 0.02, 'MX': 0.05, 'ES': 0.03, 'IT': 0.03, 'RU': 0.12, 'IN': 0.13, 'ID': 0.04, 'IL': 0.02, 'PH': 0.01, 'TH': 0.03, 'VN': 0.03, 'Other': 0.06}}",1,5000000.0,BR,Drag n Merge: Block Puzzle,1.0,0.0,Hong Kong,Metajoy,4.396083999999999,"[1845, 669, 1550, 5093, 19953]",29110.0,5000,600000,1845,669,1550,5093,19953,0.0,0.06338028169014084,0.1597389213328753,0.6998282377189969,3.4271727928546887,0.045963586396427336,4.3960838199931285,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8.517193191416238,0
15,15,Arcade,1.0,"{'downloads': '700k', 'revenue': '< $5k', 'revenueBreakdown': {}, 'downloadBreakdown': {'US': 0.28, 'AU': 0.02, 'BR': 0.12, 'CA': 0.03, 'FR': 0.02, 'DE': 0.03, 'GB': 0.05, 'MX': 0.07, 'IT': 0.01, 'RU': 0.1, 'AR': 0.01, 'ID': 0.11, 'MY': 0.02, 'ZA': 0.02, 'TH': 0.06, 'Other': 0.05}}",0,1000000.0,US,Happy Fishing - Catch Fish and Treasures,1.0,0.0,Japan,Fishing King Studio,4.6074533,"[4412, 831, 1571, 2777, 56796]",66387.0,5000,700000,4412,831,1571,2777,56796,0.0,0.0664587946435296,0.0709928148583307,0.16732191543525088,4.277644719598717,0.02503502191694157,4.60745326645277,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,8.517193191416238,0
16,16,Simulation,1.0,"{'downloads': '900k', 'revenue': '$10k', 'revenueBreakdown': {'US': 0.35, 'AU': 0.06, 'CA': 0.04, 'FR': 0.04, 'DE': 0.06, 'GB': 0.13, 'JP': 0.02, 'AT': 0.02, 'BE': 0.01, 'NL': 0.03, 'NO': 0.03, 'SG': 0.02, 'SE': 0.02, 'Other': 0.16}, 'downloadBreakdown': {'US': 0.11, 'BR': 0.05, 'CA': 0.01, 'FR': 0.03, 'DE': 0.04, 'GB': 0.03, 'MX': 0.03, 'ES': 0.02, 'IT': 0.02, 'RU': 0.09, 'AR': 0.02, 'IN': 0.08, 'ID': 0.03, 'MY': 0.02, 'PH': 0.05, 'PL': 0.05, 'TH': 0.03, 'TR': 0.04, 'UA': 0.03, 'VN': 0.02, 'Other': 0.18}}",1,1000000.0,US,Idle Coffee Corp,1.0,0.0,Great Britain,BoomBit Games,4.427004,"[2498, 1255, 2796, 6555, 32104]",45208.0,10000,900000,2498,1255,2796,6555,32104,0.0,0.055255706954521325,0.1855423818793134,0.5799858432135905,3.5506989913289684,0.05552114669969917,4.427004070076093,0,0,0,0,0,0,0,0,0,0,1,0,0,2,100,9.210340371976184,0
17,17,Casino,0.0,"{'downloads': '80k', 'revenue': '$800k', 'revenueBreakdown': {'US': 0.68, 'AU': 0.06, 'CA': 0.02, 'FR': 0.03, 'HK': 0.02, 'MY': 0.02, 'PH': 0.03, 'SG': 0.02, 'ZA': 0.02, 'Other': 0.1}, 'downloadBreakdown': {'US': 0.42, 'AU': 0.06, 'CA': 0.03, 'FR': 0.02, 'MX': 0.05, 'IT': 0.01, 'AR': 0.09, 'MY': 0.04, 'NZ': 0.01, 'PE': 0.02, 'PH': 0.03, 'SG': 0.01, 'ZA': 0.02, 'TH': 0.01, 'VN': 0.03, 'Other': 0.15}}",1,1000000.0,US,Free Slots: 88 Fortunes - Vegas Casino Slot Games!,1.0,0.0,US,Scientific Games Interactive,4.822882,"[2285, 580, 1625, 4950, 98285]",107725.0,800000,80000,2285,580,1625,4950,98285,0.0,0.021211417962404267,0.04525411928521698,0.18380134601995826,4.561847296356463,0.010768159665815735,4.822882339289858,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1000,13.592367006650065,0
18,18,Simulation,1.0,"{'downloads': '600k', 'revenue': '< $5k', 'revenueBreakdown': {'US': 0.42, 'AU': 0.05, 'CA': 0.05, 'FR': 0.03, 'DE': 0.08, 'GB': 0.07, 'KR': 0.01, 'AT': 0.02, 'DK': 0.03, 'NL': 0.02, 'NO': 0.04, 'SE': 0.03, 'CH': 0.02, 'Other': 0.14}, 'downloadBreakdown': {'US': 0.19, 'BR': 0.07, 'CA': 0.01, 'FR': 0.03, 'DE': 0.05, 'GB': 0.04, 'MX': 0.02, 'ES': 0.02, 'IT': 0.02, 'RU': 0.12, 'AR': 0.02, 'ID': 0.02, 'NL': 0.01, 'PL': 0.06, 'RO': 0.01, 'UA': 0.04, 'VN': 0.02, 'Other': 0.25}}",1,5000000.0,US,Idle Painter,1.0,0.0,Belarus,SayGames,4.183916,"[3377, 1213, 2466, 4052, 20912]",32020.0,5000,600000,3377,1213,2466,4052,20912,0.0,0.10546533416614616,0.23104309806371015,0.5061836352279825,3.265459088069956,0.07576514678326046,4.183916302311055,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8.517193191416238,0
19,19,Action,0.0,"{'downloads': '< 5k', 'revenue': '< $5k', 'revenueBreakdown': {'US': 0.3, 'AU': 0.03, 'BR': 0.02, 'CA': 0.05, 'FR': 0.03, 'DE': 0.03, 'GB': 0.06, 'JP': 0.22, 'KR': 0.05, 'MX': 0.02, 'ES': 0.03, 'Other': 0.18}, 'downloadBreakdown': {'US': 0.42, 'AU': 0.03, 'BR': 0.02, 'CA': 0.05, 'FR': 0.03, 'DE': 0.04, 'GB': 0.07, 'JP': 0.1, 'KR': 0.03, 'MX': 0.03, 'ES': 0.03, 'Other': 0.16}}",0,100000.0,US,Downwell,1.0,2.99,US,DevolverDigital,4.7203617,"[113, 59, 115, 502, 4078]",4867.0,5000,5000,113,59,115,502,4078,0.0,0.02321758783644956,0.07088555578385043,0.4125744811999178,4.189439079515101,0.02424491473186768,4.720361619067186,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.517193191416238,1
